Artist,Song,Lyrics,Translated_Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"
	Ահա և վերջ

	Վերջ հարաժամ և հարատև

	Իբրև վերջին փակվող մի էջ

	Եվ վերադարձ չկա արդեն

	Օ հարազատ խզված ձայներ

	Դու իմ վերջին վերջին աղոթք

	Բանտված հոգու արվարձաններ

	Շղթայակիր ու մենավոր

	Ահա եվ վերջ

	Սրտում անզոր մի աղաղակ

	Օ անավարտ վերջին իմ երգ

	Դու իմ վերջին մայրաքաղաք

	Հիմա մենք ում ենք հավատում

	Ուր է հոգու եկեղեցին

	Մենք հաղթեցինք պատերազմում

	Սակայն պարզվում է պարտվեցինք

	Ահա եվ վերջ

	Ինձ ասում է մի ձայն խորքից

	Լոկ դիմակն է հիմա խոսում

	Որ խամաճիկն է ամբոխի

	Երգն այն նետն է ազատության

	Ու նիզակը առասպելի

	Բել ոսոխին Հայկը հաղթեց

	Կամ հակառակը երևի

	Եվ էջերն է փակում առասպելը հոգնած

	Քարացած մի արձան պատմություն մոռացված

	Չկա սկիզբ և ավարտ այս հավերժ պայքարին

	Վերացվող ձեր տեսակը հանձնվում է Բելին

	Ահա եվ վերջ

	Հայկը պարտվեց ոսոխ Բելին

	Ահա եվ վերջ

	Ես պարտվեցի ահեղ մարտում

	Խփվել է երգն իմ անավարտ

	Սակայն ինչու չի ավարտվում

	Օ հարազատ խզված ձայներ

	Դու իմ վերջին վերջին աղոթք

	Բանտված հոքու արվարձաններ

	Շղթայակիր ու մենավոր

	Ահա եվ վերջ

	Սրտում անզոր մի աղաղակ

	Օ անավարտ վերջին իմ երգ

	Դու իմ վերջին մայրաքաղաք

	Հիմա մենք ում ենք հավատում

	Ուր է հոգու եկեղեցին

	Մենք հաղթեցինք պատերազմում

	Սակայն պարզվում է  պարտվեցինք

	Եվ էջերն է փակում առասպելը հոգնած

	Քարացած մի արձան պատմություն մոռացված

	Չկա սկիզբ և ավարտ այս հավերժ պայքարին

	Վերացվող ձեր տեսակը պարտվում է Բելին

	Ահա եվ վերջ

	Հայկը պարտվեց ոսոխ Բելին
","Here is an end

End of paragraphs and lasting

As a last closed page

And no return already

Oh native bugs

You my last Last Prayer

Suburbs of prison psyche

Chain and solo

Here. And the end

In the heart of a powerless cry

Oh unfinished my song

You my last capital

Now we believe

Where is the Spirit's Church?

We won the war

But it turns out that we lost

Here. And the end

Tell me a voice from the depth

Is the mask of the mask now speaks

Which puppet is the crowd?

The song is the arrow of freedom

And the spear of myth

Bel Joschin Hayk won

Or the opposite of probably

And the pages close the myth tired

Stone Statue History Forgotten

There is no start and finish for this eternal struggle

Your Type of Elimination is delivered to Bell

Here. And the end

Hayk lost to Bell

Here. And the end

I lost in a terrible battle

The song was hit by my unfinished

But why not end

Oh native bugs

You my last Last Prayer

Printed Hoku suburbs

Chain and solo

Here. And the end

In the heart of a powerless cry

Oh unfinished my song

You my last capital

Now we believe

Where is the Spirit's Church?

We won the war

But it turns out that we lost

And the pages close the myth tired

Stone Statue History Forgotten

There is no start and finish for this eternal struggle

The abolished type is losing Bell

Here. And the end

Hayk lost to Bell"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՄԵՆԸ ՁԵԶ,"
	Մեծածավալ և հիասքանչ տաճարների

	Եվ ոսկեզարդ խորանների աղոթքը

	Ամենը ձեզ և արծաթե լապտերը վանքերի

	Ադամանդե շարքով հյուսված խաչերը

	 

	Դուք ձեզ վերցրեք և փառավոր շքախմբեր

	Եվ տոնական կախարդական զանգերը

	Ամենը ձեզ իսկ ինձ միայն բաժին թողեք

	Դժոխքներով անցած Հայր մերը

	 

	Իսկ ինձ թողեք միայն մատուռը հավատքիս

	Տարեք բաժնեք այս աշխարհի գանձերը

	Ամենը ձեզ իսկ ինձ թողեք հուշերն անթիվ

	Եվ նյարդերից հյուսված կյանքիս էջերը

	 

	Եվ թողեք դուք ինձ հեքիաթները իմ

	Եվ խաբկանքներից հյուսված ճամփաները

	Եվ եթե հանկարծ չհասնեմ լույսին

	Զուր չէին բոլոր աղոթքներս Տեր

	 

	Ամենը ձեզ քարոզների խորհուրդն անգին

	Ճանկեք կյանքի ձեր մարտնչած փառքերը

	Իսկ ինձ թողեք ընկերներիս սրտերն ազնիվ

	Եվ տարերքին տրված խելառ օրերը

	 

	Այսպես պոկված ճյուղի նման կյանքի ծառից

	Մոլորվեցինք այս աշխարհի մեջ

	Եվ ուսերի վրա շալկած լոկ բեռը հավատքի

	Եվ անաստված դարի մեղքերը

	 

	Եվ թողեք դուք ինձ հեքիաթները իմ

	Եվ խաբկանքներից հյուսված ճամփաները

	Եվ եթե հանկարծ չհասնեմ լույսին

	Զուր չէին բոլոր աղոթքներս Տեր
","Large-scale and wonderful temples

And the prayer of golden tabernacles

All you and the silver flashlight of the monasteries

Khocks woven in diamond



You take you and glorious receivers

And the magician calls of holiday

All of you to leave me only

Father for Hell



And leave me only the chapel in my faith

Take part in the treasures of this world

All you and leave me memories

And the pages of my life woven from nerves



And leave me the fairy tales

And the ways woven from scams

And if I don't suddenly with the light

Weren't all prayers in vain



All will give you the advice counsel priceless

Clasp the glory of your life

And leave me my friends' hearts honest

And the crazy days given in the element



Thus torn branch like a tree of life

We were lost in this world

And on the shoulders only the burden of faith

And the sins of the ungodly century



And leave me the fairy tales

And the ways woven from scams

And if I don't suddenly with the light

Weren't all prayers in vain"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՆԱՌԱԿ ՈՐԴՈՒ ՎԵՐԱԴԱՐՁԸ,"
	Երբ անառակ որդու նման

	Դառնաս թողած քաղաքդ

	Եվ դռնեդուռ փնտրես նրանց

	Ում որ վաղուց կորցրած ես

	 

	Սեղանի չորս կողմում նստած

	Նրանք են ում գտել ես

	Խոսքեր չկան խմում ենք լուռ

	Ուշ է ուշ է

	 

	Երբ անառակ որդու նման

	Վերադառնաս քո տունը

	Մթում կախված մի պատուհան

	Ճոճվող ստվերներ անկյունում

	 

	Երբ հայրդ ծեր դնի ուսիդ

	Իր դողացող ձեռքերը

	Միայն կշշնջա կամաց

	Ուշ է ուշ է

	 

	Հազար օտար աչքերի մեջ

	Գտնես նրա հայացքը

	Նրան ով որ սիրում էր քեզ

	Սպասում քո վերադարձը

	 

	Երբ անառակ որդու նման

	Վերադառնում է սերը

	Լսում ես կարճ մի պատասխան

	Հեյ ուշ է

	 

	Եվ ում կամքով է որ կյանքում

	Ամենն ունի իր վերադարձը

	Միշտ ուշացած գտնում ես այն

	Ինչ որ վաղուց կորցրած ես

	 

	Երբ անառակ որդու նման

	Վերադառնում է խիղճը

	Լսում ես կարճ մի պատասխան

	Ուշ է ուշ է
","When like a prodigal son

Become your own city

And seek out the door to them

Whose long have you lost



Seated

They have found

There are no words we drink silently

It's too late to late



When like a prodigal son

Back to your home

Smoothing depending on a window

Swing Shadows in the corner



When your father put your shoulder

His trembling hands

Will only be willing to slowly

It's too late to late



In a thousand foreign eyes

Find his gaze

Whoever he loved you

Waiting for your return



When like a prodigal son

Returns love

You hear a short answer

Hey is late



And to whom in which life is

Everything has its own return

I always find it late

Whatever you have lost a long ago



When like a prodigal son

Returns the conscience

You hear a short answer

It's too late to late"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՇԽԱՐՀԻ ՑԱՎՈՎ,"
	Սիրտս կարյունի աշխարհի ցավով

	Որքան տառապանք Աստված իմ չորս դիս

	Կյանքի դաշտերից փչող ամեն հով

	Հառաչ ու կսկիծ կզարնե դեմքիս

	 

	Անմեղ զոհերի արյունով եռուն

	Հողը ոտքիս տակ կմնա միշտ թաց

	Եվ նոր վճիռներ իմ շուրջն ու հեռուն

	Կծնվեն մարդիկ արյունով հարբած

	 

	Սրի ու սովի կդառնան ավար

	Լույսի պես պայծառ մանուկներ սիրուն

	Եվ ոտքի կոխան հասկեր անհամար

	Աշխատավորի քրտինքով օծուն

	 

	Ես ինչպես նստեմ խնջույքի սեղան

	Եվ ըմպեմ ուրախ վայելքի գինին

	Երբ որ կխլեն մարդիկ անվարան

	Որբի բերանից պատառը հացի

	 

	Աստված իմ որքան անարդար վճիռ

	Ինչպես կարող եմ քար դնել խղճիս

	Կյանքեր թևաբեկ և թշվառագին

	Աշխարհի ցավով հիվանդ է հոգիս
","My heart with Kariy's world pain

How much suffering God my four disc

Every sea blowing from the fields of life

He will take sighing and grief



Innocent victims of blood boilers

The land will always be wet under my feet

And new judgments around me and far away

People are born with blood drunk



Will become a spoil and famine

Bright babies like light

And the foot of the foot is countless

Worker's sweat anointed



I'm how I sit on a picnic table

And drink happy enjoyment wine

Whenever people will be a haven

The raft of the mouth of the mouth of the bread



God Me How Unjust Dedicated

How can I put a stone in my conscience?

Lives:

My soul is sick with the pain of the world"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՌԱՋ ԳԻՏԵԻ,"
	Առաջ գիտեի

	Թե մարդիկ ինչու կգային աշխարհ

	Արեգակն ինչու կթափեր ոսկի

	Ծաղկաբաց ծառի ափերում դալար

	Ինչու կհնչեր երգը գետակի

	Առաջ գիտեի հիմա չգիտեմ

	 

	Առաջ գիտեի

	Ինչ էին ասում աստղերը պայծառ

	Կախված կամարից անհաս երկնքի

	Թե ուր կարշավեր վազքը տենդահար

	Հավերժագնաց մեր մոլորակի

	Առաջ գիտեի հիմա չգիտեմ

	 

	Առաջ գիտեի

	Թե ինչու մարդկանց ծիծաղին հորդուն

	Խառնվում էր լաց արյուն ու արցունք

	Եվ ինչու կյանքի հինավուրց ճամփին

	Վիհին կնայեր ամեն մի բարձրունք

	Առաջ գիտեի հիմա չգիտեմ

	 

	Առաջ գիտեի

	Թե ինչ կար կյանքից մահից էլ անդին

	Ինչ գանձեր ծածուկ ուներ ապագան

	Եվ թե որ անսուտ նորածագ լույսին

	Կբացվեր հանկարծ ամեն գերեզման

	Առաջ գիտեի հիմա չգիտեմ
","I was known before

What people would be a world

Sun Why would he pour out gold?

Flower on the shores of the tree Dally

Why would the song sound?

Ago I knew now I don't know



I was known before

What did the stars say bright

Depending on the arch of the sky

Where the carshawn run is a feverish

Everage of our planet

Ago I knew now I don't know



I was known before

Why People Laugh Powder

Was mixed with crying blood and tear

And why on the ancient way of life?

Vihi would look at every tall

Ago I knew now I don't know



I was known before

What was there from life from death?

What treasures did the future have secretly

And in which unusual newfruited light

Would have opened every grave suddenly

Ago I knew now I don't know"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՍՏՂԵՐ,"
	Երկնքում անթիվ աստղեր են լողում

	Բայց մարդիկ երբեք վերև չեն նայում

	Հայացքները կախ միշտ նայում գետնին

	Քարացած սրտով ինչ հրաշք երկինք

	 

	Երկնքում կապույտ արևն է լողում

	Ամպերը սակայն երկինքն են փակում

	Շողերը վերջին խեղդվում են ահա

	Սակայն ոչ մի սիրտ չի նեղվում անգամ

	 

	Երկնքից պոկված աստղերին ափսոս

	Երկինքը ափսոս հողին հարթեցված

	Աստղերը պոկող պատանուն ափսոս

	Ափսոս խորտակված իղձերին նրա
","Countless stars in the sky swimming

But people never look up to top

The views hangs always on the ground

Stornly heart What a miracle sky



The blue sun swims in the sky

The clouds but closes the sky

Shinks last drowning here

But no hearts are upset even



Pity the stars torn from the sky

The sky is paved to the ground flattened

The stars tore the torn pity

Pity sinked dreams of his"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՍՈՒՄ ԵՆ,"
	Ասում են կարճ է կյանքը

	Շուտ կը մարի սրտի զարկը

	Բայց արևի տակ ծիրանի

	Երիտասարդ ու ծերունի

	Ահա կանգնած շարան շարան

	Կձանձրանան

	 

	Ասում են քաղցր է կյանքը

	Եվ անսահման երկրի փառքը

	Բայց քրկի մեջ բուրաստանի

	Ծաղիկների դեմ գեղանի

	Մարդիկ ահա շարան շարան

	Կձանձրանան

	 

	Ասում են խորն է կյանքը

	Լույս է համայն երկրի հանքը

	Բայց կանչի դեմ ծիածանի

	Կամ աստղերի խորհրդալի

	Մարդիկ ահա շարան շարան

	Կձանձրանան

	 

	Ասում են նոր է կեանքը

	Միշտ կհնչի սիրո զանգը

	Բայց աներազ առանց տաղի

	Սեղանի շուրջ աղ ու հացի

	Մարդիկ ահա շարան շարան

	Կձանձրանան
","They say short of life

Makes the heart of the heart soon

But in the sun apricot

Young and old man

Here is a standing series.

Trim



They say sweet life

And the glory of the infinite country

But in the slaughter of the burlast

Beautiful against flowers

People here are a thread thread

Trim



Say deep is life

The mine of the country is light

But against the call of the rainbow

Or of stars' council

People here are a thread thread

Trim



They say new life

The call of love will always ring

But an anger without a poet

Table with salt and bread

People here are a thread thread

Trim"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԲԱՐՈՎ ՄՆԱՔ,"
	Դռները մեկ առ մեկ փակում

	Կյանքիս անցած էջերի պես

	Էջերը լույս պահում սրտում

	Մնացածը տալիս քամուն

	Եվ հեռանւմ

	Բարով մնաք

	 

	Բարով մնաս իմ մանկություն

	Որ դեռ ապրում այրվում ես իմ սրտում

	Փոքրիկ ջութակ քարքարոտ բակ

	Աքսորների խուլ ահազանգ

	Կռիվ ու խաղ

	Բարով մնաք

	 

	Բարով մնաք իմ ընկերներ

	Որ կիսեցիք ինձ հետ օրերը հին

	Ես կհիշեմ ամեն վայրկյան

	Նրանց որոնք արդեն չկան

	Օրհնյալ լինեք

	Բարով մնաք

	 

	Բարով մնաս դու իմ քաղաք

	Եվ փողոցներ իմ հարազատ

	Ես չափչփել եմ ձեզ հազար անգամ

	Դեմքեր ծանոթ բարի ու գորշ

	Հեգնանք ժպիտ և հայհոյանք

	Ես դեռ կգամ

	Բարով մնաք

	 

	Ինքս ինձնից եմ հեռանում

	Եվ կամուրջները ետդարձի ես չեմ այրում

	Ես հեռանում եմ որ դառնամ

	Հազար փակված դռներ բանամ

	Հիմա գնամ

	Բարով մնաք

	 

	Մնաս բարով վերջին իմ սեր

	Կորուստի պահը լուռ և քարացած շուրթեր

	Գիշեր անդարձ ձեռքեր սեղմված

	Եվ կորուստի դռները բաց

	Ես փակեցի

	Բարով մնաք

	 

	Մնաք բարով խելառ օրեր

	Անքուն հազար իմ գիշերներ

	Բարով մնաք խոսքեր մաշված

	Դեմքեր հոգնած

	Նոր խաբկանքի դռները բաց

	Չեմ հավատում

	Բարով մնաք

	 

	Մնաս բարով վերջին կորուստ

	Վերջին իմ հույս սպասում 

	Երազ վերջին

	Ես հեռանում եմ ամենից

	Ամեն տեսակ սուտ խաղերից

	Ես չեմ խաղում

	Բարով մնաք
","Doors one by one closure

Like pages past my life

Pages keep light in the heart

The rest gives the wind

And the removal of

Stay with bar



Good with good my childhood

That you still live burning in my heart

Little Violin Stone Yard

Deaf alert of exile

Fight and game

Stay with bar



Do you keep my friends?

That would share me the days old

I will remember every second

Those who already have no

Blessed be

Stay with bar



Good staying in my city

And the streets of my own

I measured you a thousand times

Faces familiar with good and gray

Irony smile and curse

I will still come

Stay with bar



I leave myself away

And bridges back I don't burn

I'm leaving that I will become

A thousand closed doors

Now I'll go

Stay with bar



Good with the last my love

The moment of loss is silent and petrified lips

Night Night Hands Pressed

And the doors of the loss open

I closed

Stay with bar



Stay barefeated days

Sleepless thousand my nights

Stay with good words worn

Faces tired

The doors of the new deceitful doors open

I do not believe

Stay with bar



Last loss with good

The last my hope is

Dream Last:

I leave the most

Of all kinds of false games

I don't play

Stay with bar"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԴԱՏԱՐԱՆ,"
	Կապեցին վաղուց աչքերդ փալասով

	Ժանգոտեց ձեռքիդ կշեռքը դարավոր

	Գողացան կշռաքարերը քո խղճի

	Դու ես որ արդարություն ես  Հեյ երևի

	 

	Հեգնեցի ես կուռքերին իմ հին ու նոր

	Չեմ կանգնի ես քո առջև գլխակոր

	Բանտարկված եմ ես ցմահ այս կյանքով

	Եվ արդեն պատիժ է դա ծայրագույն հոդվածով

	 

	Այրեցի բոլոր դռները բաց և փակ

	Կողպեքները ձեզ վերցրեք  Հեյ հիշատակ

	Սև թելով սպիտակ թևերը կարեցի

	Ինձ ասում են  Չես թռչի  կջարդվես Ցատկեցի
","Tied up for a long time with your eyes with palasses

Rustled the scales of your hand for centuries

Stole the weights of your conscience

You are the righteousness you are hey



I mourned I idols my old and new

I won't stand in front of you

I'm imprisoned for life this life

And already punishment is that with the highest article



I burned all the doors open and closed

Locks Take You Hay Memory

I sewed the white wings in black thread

I'm telling me you won't fly to break jump"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԴԻՄԱԿԱՀԱՆԴԵՍ,"
	Որ խոսքերին ապավինեմ 

	Որ հույսերով ինձ պարուրեմ 

	Եվ որ ձայնով լարեմ նորից հոգիս

	Եվ որ կանչին արձագանքեմ

	Որ փարոսով առաջնորդվեմ

	Ով կխրի դաշույնը իմ մեջքիս

	 

	Որ ձայներից կխլանամ 

	Որ ցավերին կդիմանամ

	Որ խավարում ես կկորչեմ նորից

	Եվ որ ստին կհավատամ 

	Նորից ինչից կզարմանամ

	Եվ ինչ հաղորդությամբ կհեռանամ կյանքից

	 

	Աննշմար դողով ծառերը 

	Մեր կյանքի փողոցներում 

	Թաքցնում են մեր ձայները 

	Տերևի երակներում

	Եվ դեղին մագաղաթները 

	Մայթերի վրա թերթվում

	Եվ հողին մորմոքն են ժառանգում

	 

	Որ աչքերի լույսը օրհնեմ 

	Որ սաղմոսին ապավինեմ

	Եվ ով դեռ կխաչի ջութակս պաղ

	Եվ ում ուժգին ոխով ատեմ 

	Ում մոգական սիրով պաշտեմ

	Որ կորուստներից կխենթանամ

	 

	Որ քաղաքում անհետանամ

	Որ տան խցում անէանամ

	Եվ ում դիմակը ես պոկեմ դեմքից

	Որ լույսերից կկուրանամ 

	Որ ցավերից ես կոռնամ

	Ում փամփուշտից կհեռանամ կյանքից

	 

	Աննշմար դողով ծառերը 

	Մեր կյանքի փողոցներում 

	Թաքցնում են մեր ձայները 

	Տերևի երակներում

	Եվ դեղին մագաղաթները 

	Մայթերի վրա թերթվում

	Եվ հողին մորմոքն եմ ժառանգում

	 

	Որ աչքերի լույսը օրհնեմ 

	Որ սաղմոսին ապավինեմ

	Եվ ով դեռ կխաչի ջութակս պաղ

	Եվ ում ուժգին ոխով ատեմ 

	Ում մոգական սիրով պաշտեմ

	Որ կորուստներից կխենթանամ
","That I rely on the words

That hopes to Parur

And to make my soul again

And to whatever call

That I will be guided by a lighthouse

Who will steel the dagger my back



Which voices will I get

Which pains will I know

That in the dark I will I will crumble again

And which ly I will believe

What will I get up again?

And what sacram will I leave life?



Trees of indefinite trees

In the streets of our lives

Hide our votes

In leaf veins

And yellow parchments

On the sidewalks browse

And the land is inherited



That I will bless the light of the eyes

That I rely on the psalm

And who will kick my violin with cold

And whom hate hate hate

Whose magical love worship

Which losses will I centage?



In which city to disappear?

That I have been in the cell cell

And whose mask do I pour out of his face?

Which lights will I be blind?

Which pain are you?

Whose bullet will I leave with life?



Trees of indefinite trees

In the streets of our lives

Hide our votes

In leaf veins

And yellow parchments

On the sidewalks browse

And I inherit the Mormok of the land



That I will bless the light of the eyes

That I rely on the psalm

And who will kick my violin with cold

And whom hate hate hate

Whose magical love worship

Which losses will I centage?"
