Artist,Song,Lyrics
Mi Qani Hogi,SMS,"
[Նախերգանք: Սեբու]

Deep into love I sink

Deep, deep, deep...

Deep into love I sink

Deep into love I sink

Deep, deep, deep...

Deep into love I sink


[Տուն 1: Միշո]

Դու, հասարակ մի դերանուն

Քո անունն իմ բերանում

Ինձ տարել ես ու տանում, դեպի ու՞ր

Առանց քեզ ծերանում, աշխարհից նեղանում

Ինձ տարեք դեղատուն, մեկէ ջուր

Ես քո հետ եմ, որ առողջ եմ

Դու, որ չկաս, ես էլ ոչ մի բան անող չեմ

Կարոտել եմ тебя очень

Մենք մի մարմին, ուրիշները իրար պոչ են

Քեզ գրում եմ մատերով

Հեռախոսը ատելով, SMS-ը պատելով կարոտով

Ալիքները կապելով, օդերով, ամպերով

Փոխանցում բառերը տպատառերով

Հլը չի սկսէ կինոն մեր

Հա, մինչև էս, մենակ իմը, կամէ քոնն էր

Էրևումա ակնհայտ

Ծերանանք, ասելու ենք՝ մերը բոմբ էր
"
Mi Qani Hogi,Tar Indz,"
[Verse 1: Felo]

Տար ինձ քո հետ, ասում եմ

Տար ինձ քո հետ, վազում եմ

Սարից քո հետ, դառել եմ քարից պոետ

Խնդրում եմ տար ինձ քո հետ-հետ

Կամ էլ առաջ տար

Պատկերացնում ես մի օր հետոն առաջ գար

Տար ինձ քո հետ, ասում եմ

Տար ինձ քո հետ, վազում եմ

Սարից քո հետ, դառել եմ քարից պոետ

Խնդրում եմ տար ինձ քո հետ-հետ

Կամ էլ առաջ տար

Պատկերացնում ես մի օր հետոն առաջ գար


[Verse 2: Misho]

Տար ինձ քո հետ տենամ քո գույները որն են

Հա հենց գույները, էտ ամենա կարևորն են

Խորն են տողերը, ոնց որ ծովն ու տիեզերքը

Կողմ են նրանք, որ բառերը համ էլ զենք են:

Պետք են առաջինը ինձ, հետո եսիմ

Կամ լռիվ ուրիշներին

Կամ է կարող ա իմ պեսին:

Անտեսի այնպիսի մարդկանց ով միշտ տխուր ա

Իրանց չես օգնի, հանկարծ խրում են թուրը

Հենց իրանք, իսկ կյանքը էնքան թանկ

Ունեմ լիքը մաղթանք, ինձ համարում եմ պարտք

Բայց դե ում դեմ տանք

Սենց գանք ու չգնանք

Ստէ թեմաների հանք

Բերանս է ցամաք, մի հատ ջուր բեր:

Տար ինձ քո հետ տենամ քո աշխարհը որն ա

Հա ինձ պոետ համարում եմ ամեն օրն էլ

Տար ինձ քո հետ, ստէ անգիր ա ամեն ինչ

Որ մնամ համոզված եմ, դառնալու եմ ավերիչ:

Նենց որ…
"
Misho,Hastat Apeh,"
Վոշմ սենց ապէ, լրջացանք մեկա ոչ էլ պակասեց ապէ

Համ օյաղ համ էլ մի տեսակ բացեց ապէ

Ասեք ջան, համ էլ ջանս մտավ ցեց ապէ


Քել ղժժանք, մարդ կա դրանից լացեց ապէ, Բնական առանց որևիցէ ցենզ ապէ

Տնական, պետականը չսազեց ապէ

Հայկական, դաժէ հերս որ մարսեց ապէ

Լսարան, էտա սաղ ապացուցեց ապէ

Մսաղաց մեջը ով էլ չդզեց ապէ

Լուսաբաց, օրրգանիզմս չքնեց ապէ

Կթվա բզբզում եմ, բայց բզեց ապէ

Քեզ եսիմ կարևորը մեզ դզեեեեց ապէ

Կթվա մեծամիտ ենք, բայց հուզեց ապէ

Էս մեկից չէ, դե որևիցէ ԻՑ ապէ

Հնդկական նվնվոցա Սերժոից ապէ, Էս ժառգոնն էլ վրից և ահա․․․․․․․․․․


Հա հա հա հա... Հա հա հա հա(հա ինչ ապե)... Հա հա հա հա...

Հաստատ ապէ(ասա)

Հա հա հա հա... (ասա)Հա հա հա հա... (ասա) հա հա հա...

Հաստատ ապէ

Հա հա հա...(ասա)Հա հա հա հա...(ասա)Հա հա հա հա...

(հաստատ)Հաստատ ապէ


Նոր դառա 30 ու գնալով էրևումա ովա ով իր ներսուում

Պլյուս մարմինա մերսում, երբ որ բիտը խբումա դոշիդ էլ դու սուուս

Մի հատ գլուխ երկու ուս, ով որ քիչա կարում աղոթումա

Հիսուուս Ինքս ինձ եմ ինքնուս, ինքս ինձ եմ ուղում, ինքս ինձ եմ իմպուլս

Վոշմ լավա, հա բա ինչ նվնվանք զահլես տարան ապէ

Ապեր սաղ թխոցիա ու հարամ ապէ

Ամեն դաշտ՝ մյուզիքից քաղաքական ապէ

Մեկին վատ չի թվում, մեկին թալան ապէ Ես իմ փայ, որտև անկուսակցական ապէ

Վոշմ սենց, վոշմ մարդու տարրական ապէ

Հլը նոր ենք բացվէ ինչ բավական ապէ

Բանական, արական, առռռա հա, դե բա հա․․․․
"
Halfcastromeo,OG,"
[Songtext zu „OG“ ft. Sin Davis]


[Intro: Halfcastromeo]

Bin mit Xaser und du nicht, yeah, yeah


[Hook: Halfcastromeo]

Maison Margiella die Kicks, sie ist überwältigt in all der League, ja

Hör' mal weil sie die kids will, du feierst dich selber, doch nigga dich nicht, nah

Diggi, ich bin ein OG, seit „Givenchy“ feiern mich all diese Kids, ja

Schick' mir ein Tropfen-Emoji und danach mach ich Party auf ihrem Kitzler

Maison Margiella die Kicks, sie ist überwältigt in all der League, ja

Hör' mal [?], du feierst dich selber, doch digge dich nicht, nah

Diggi, ich bin ein OG, seit „Givеnchy“ feiern mich all diesе Kids, ja

Schick' mir ein Tropfen-Emoji und danach mach ich Party auf ihrem Kitzler


[Part 1: Halfcastromeo]

Popp' ihre Benzos wie Smarties

Nigger, ich komm vorbei, wir machen Party , mh (Pah)

Ein bisschen retardet, aber nur Pussy im Kopf und das war's auch schon (So viel Puss)

Ich bin addicted und sie kratzt sich fest an mir, [?] (Kleine Bitch)

Headgame ist strong, Pussy ist [?] Saint Laurent (Häh)

Baby macht drei Kilo

Ich komm' später, zu viel Vino (Sauce)

Mh, Sex szenen wie im Kino

Du bist nasty ohne [?], mh (Nasty)

Du bist ein Magician

Dick verschwunden durch den Dickdarm, mh

Keine Competiton, Nameks Vision, ihre Mission, mh (Pah, pah)
"
Misho,Srtis Hyury,"
[Verse 1]

Բաց սիրտս՝ ան բանանալին

Ես հեռու եմ սրտիցս, ես չեմ կարա ինքս

Դեռ ունեմ էնքան անելու, մի օր կգամ

Հիմա ես ժամանակ չունեմ, ինքս սիրտս բանամ

Գրական ա, բարդ ու գրավում ա

Չէ՞ որ դրական ա մարդը, երբ խոսում ա

Առանց լացելու՜

Նոտաներով ասում եմ՝Դու լ-սի, դու լ-դո, դու լ-ռե՝ շեղվա



Թեկուզ նեղվա դեմից ու անհարմար ա

Համ ձմեռ ու ցուրտ ա մեջս, համ՝ ամառ ա

Իմ շունը համառ ա

Զգուշ, բայց առխային

Եթե մեջիցդ հոտ չէկավ՝ հանգիստ մտի

Բա մարդ որ չփթի

Ուրեմն հյուր ա մոտս միշտ

Ով չունի մեջը վիշտ

Չեմ ջնջում մեկընդմիշտ

Մի՜շ, կասե՞ս ինձ խի ես պատմում

Սաղ սրտիս մեջ կայնած ես

Ու չես էլ նկատում՝ ավա՜ղ:


[Chorus]

Լույս չկա մութ ա սրտումս

Տենց ողջունում եմ՝ բա հյուր ես

Իսկ շրջապատումդ ինչե՞ր են լողում

Բա ես չպատմեմ, դու սաղ բաց ես թողում կյանքս

Լույս չկա մութ ա սրտումս

Տենց ողջունում եմ՝ բա հյուր ես

Իսկ շրջապատումդ ինչե՞ր են լողում

Բա ես չպատմեմ, դու սաղ բաց ես թողում կյանքս
"
Mi Qani Hogi,Yeghanak,"
[Intro]Never, never dieNever, never... die




[Hook: Misho, 
A. Chilla
]

Եղանակը քո մեջից հանի ու դուրս բեր

Եղանակը քո քամին էր, ես էլ վառվող լույսն եմ

Եղանակը արև ա թե քամի ու հույսերԴուրս արի քո հետ են մի քանիսը, իրանք դուրսն են


[Verse 1: Misho]

Մտածելու տեղ, մնացել ա նեղ պատին

Երազելուս տեղ, չմնամ նստած վախից

Որոշել եմ ես, էսօր հեռանամ սաղից

Սովորել եմ քեզ, կարող ա վերանամ մահից

Ուղղությունը իմ, փոխվելու ա էս պահից

Լռությունը ինձ, մնացածը քեզ պահի

Ուրախ եմ թե տխուր, կպարզվի էս տարի

Ներս արի, կհանդիպի քեզ բարին, չես սառի

Մտածելու տեղ, չի մնացել նեղ պատին

Գնացել եմ ես, էլ չեմ էլ նստելու վախից

Երեկոյան ես, չեմ էլ լինելու այստեղ

Ցերեկը քո պես, մեկնելու եմ տիեզերք

Ով էր ինձ պահել, կմնամ հավերժ ջահել

Ծերանալը հեչ, կարևորը չեմ մարել

Չեմ է մարելու, հալելույա բարե լույս

Հալվելույա էսօր ձյունը, ես էլ գնամ դուս
"
Vnasakar,Sax Qcel Em Texe,"
[Verse: Kar]

Դու տենում ես կյանքը սեռի

Ես տենում եմ սեռի ծուխ

Իմ մոտ սաղ ձեռի հետա, անտարբերություն

Կանաչ տերևը գլխարկիդ ապե թե ջեբդ

Չես Ուզում բռնես ՉՊ

Պահել չափը

Կարևորը ծուխը սիրումա ռեպ

Էտե ապե նենցա քեզ չթվա թո

Որ ամեն չատո

Մտնի սայթով սկսեն շատով ղրգել խառը չատով

Վերջում մանթո որտև ոչ մի բան է դուս չեկավ

Ես քայլում եմ մայթով ապե պադյեզդից նոր դուս էկա

Գլորվումա կամաց մաշնեն շշից արի գլատոկ

Քուչեքը լիքը բոզ իշքան ասաֆալտին լադոկ

Ցածր պերեդոկ

Սպիտակ քյառթու Priora

Ճանաչումա ոնց ջոգում եմ

Ծխող էլա շոֆեռը


[Hook: Kar]

Ես սաղ քցել եմ տեղը տեղը տեղը տեղը տեղը տեղը

Ոչմեկ չգիդի որդեղ եմ (որդեղ եմ) որտև

Չեմ զգում ոտերս ինձ զգում եմ թեթև

Ես սաղ քցել եմ տեղը(հա) տեղը տեղը(հա) տեղը տեղը(հա) տեղը

Ոչմեկ չգիդի որդեղ եմ (որդեղ եմ) որտև

Չեմ զգում ոտերս ինձ զգում եմ թեթև

Ապե ես սաղ քցել եմ տեղը
"
Misho,Nax,"
[Intro]

Նախ արի հասկանանք ուր հասանք

Ինչա խոսում էսօր լուռ մասան

Գնացինք

Տենանք ինչ դառանք


Մնացին․․․ ով չուզեց խաղա

Չէ ես էլի խաղաղ, ուղղակի դեմս էնքան դաղալ

Նախատեսում եմ էսօր աղամ...


[Verse 1]

Նախ, գրածս դատելուց միքիչ զգույշ

Որ սկսել էինք էն վախտ կլսեի արդեն ուշա

Դառել եմ խուլ, լսում եմ էն ինչ կարամ

Ինձ հանի օդերով, ոչ թե հարավ


Ասատրյան Արամ կամ Խաչատրյան չեմ

Լրիվ իմ գետով հոսում եմ ու նման չեմ

Վափշե ռեպեռին սկի

Սիրում եմ «հա չէ՞» այ ոչ թե «եսիմ» միշտ

Փորձում եմ կանչեմ ով նույն իմ խելքին


Նախ ամեն անգամ ինչ որ բան կուտակվումա մեջս

Ու նորից սկսում եմ։ Եսիմ երբա վերջս

Նախ ապրել սովորենք թե չէ մյուսը հեշտա

Որ գարունը չգա մեկա լիքը էշ կա
"
Mi Qani Hogi,Axjik Chxjik,"
[Verse 1: Felo]

Քեզ տանեմ կինո, թե կարմիր վարդեր

Որ քաղել եմ արդեն ոտերիդ տակ շպռտեմ

Թե քեզ կորցնեմ ու չփնտրեմ, որն ընտրեմ

Սպիտակ, թե կարմիր շորն ընտրեմ գամ հետդ ընթրեմ

Թե կասես խնդրեմ ու կթողես, որ գնամ

Թարսի պես մթնեց ու չեմ էլ իմանա

Ուր է հիմա նա, գուցե չմնա

Եթե չիմանա, որ չի դիմանա

Ուր է, ուր է հիմա նա

Նրան փնտրումա քամին

Ու ցանկացած ժամին

Քեզ կպաշտպանի դաժը Վան Դամից

Եսիմ որ ջանդամից, բռնել են 2 ժանդառմ ինձ

Ես էլ կատաղած ատամիս ցավից

Տվի դրա ճակատին էն ուժեղ քացովից

Դու էլ երևի սպասում ես տանը աղ ու հացով ինձ

Էն գեղեցիկ տանը, որ էրևումա ձորից

Ու լցրել ես իմ սիրած հյութը կանաչ խնձորից

Որ սառն էր, կամաց-կամաց տաքացավ

Արևն էլ մգացավ, անցավ, վարդերն էլ չորացան

Ես էլ մնացի մենակ, ոնց որ ինչ-որ արձան

Քեզ նույն տեղում սպասող ծաղիկներով քարացած


[Hook: A.Chilla]

Աղջիկ, որ չղջիկ էր ցերեկները չկար

Գիշերներն էլ դժվար գտնես էտ աղջկան

Երևի քո արյան մեջ աղ չկա ու վախ չկա

Կամ բախտ չկա գտնել էտ աղջկան:

Ով որ չղջիկ էր ու ցերեկները չկար

Գիշերներն էլ դժվար գտնես էտ աղջկան

Երևի քո արյան մեջ աղ չկա ու վախ չկա

Կամ բախտ չկա գտնել էտ աղջկան:
"
Scimmie Del Deserto,Qui,"
[Testo di ""Qui""]


[Intro]

Check it out ahLet me tell you somethingAnd it goes a little some like this


[Strofa 1: Fetz]

Ho un accendino per accendere il vizio

Solo per sfizio alla tele Maurizio quando inizio

Altrove sugli schermi playstation

Le mani portano alla bocca le skills: Jamaica nation

Di nuovo con il fumo negli occhi, qui

Noi siamo comodi aspettando rintocchi o beats sbrocchi

La testa che ondeggiando ci porta

Fuori da questa porta nell'era sconvolta è tempo di raccolta

Seduti su una sedia che assorbe

Le forze, ma questa gioventù bruciata si è fatta più forte

Dietro le sbarre, un compromesso che stringe

Giustizia dalle mani sporche una guerra dipinge

Io non ci credo, non so

È un mondo che in fondo

Non lascia spazio che so per viverci a fondo

Estremi complici e gregari di colpi alle spalle

Che non si attraggono mai in un cielo di stelle

Lo stato è il primo che spara la scena è chiara

Un corpo steso sulla terra amara stordisce la sfera

Con gli occhi al cielo mi chiedo se davvero

Non sia il denaro che distrugge il sentiero
"
