Artist,Song,Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"
	Ահա և վերջ...

	Վերջ հարաժամ և հարատև,

	Իբրև վերջին փակվող մի էջ,

	Եվ վերադարձ չկա արդեն:

	Օ՜ հարազատ, խզված ձայներ,

	Դու իմ վերջին, վերջին աղոթք,

	Բանտված հոգու արվարձաններ,

	Շղթայակիր ու մենավոր:

	Ահա եվ վերջ...

	Սրտում անզոր մի աղաղակ,

	Օ՜ անավարտ, վերջին իմ երգ,

	Դու իմ վերջին մայրաքաղաք:

	Հիմա մենք ու՞մ ենք հավատում,

	Ո՞ւր է հոգու եկեղեցին,

	Մենք հաղթեցինք պատերազմում

	Սակայն պարզվում է՝ պարտվեցի՞նք:

	Ահա եվ վերջ...

	Ինձ ասում է մի ձայն խորքից,

	Լոկ դիմակն է հիմա խոսում,

	Որ խամաճիկն է ամբոխի:

	Երգն այն նետն է ազատության

	Ու նիզակը՝ առասպելի:

	Բել ոսոխին Հայկը հաղթեց...

	Կամ հակառակը՝ երևի՞...

	Եվ էջերն է փակում առասպելը հոգնած,

	Քարացած մի արձան, պատմություն մոռացված,

	Չկա սկիզբ և ավարտ այս հավերժ պայքարին,

	Վերացվող ձեր տեսակը հանձնվում է Բելի՞ն...

	Ահա եվ վերջ...

	Հայկը պարտվեց ոսոխ Բելին...

	Ահա եվ վերջ...

	Ես պարտվեցի ահեղ մարտում:

	Խփվել է երգն իմ անավարտ,

	Սակայն ինչո՞ւ չի ավարտվում:

	Օ՜ հարազատ, խզված ձայներ,

	Դու իմ վերջին, վերջին աղոթք,

	Բանտված հոքու արվարձաններ,

	Շղթայակիր ու մենավոր:

	Ահա եվ վերջ...

	Սրտում անզոր մի աղաղակ,

	Օ՜ անավարտ, վերջին իմ երգ,

	Դու իմ վերջին մայրաքաղաք:

	Հիմա մենք ո՞ւմ ենք հավատում,

	Ո՞ւր է հոգու եկեղեցին,

	Մենք հաղթեցինք պատերազմում

	Սակայն պարզվում է ՝ պարտվեցի՞նք:

	Եվ էջերն է փակում առասպելը հոգնած,

	Քարացած մի արձան, պատմություն մոռացված,

	Չկա սկիզբ և ավարտ այս հավերժ պայքարին,

	Վերացվող ձեր տեսակը պարտվում է Բելին...

	Ահա եվ վերջ...

	Հայկը պարտվեց ոսոխ Բելին...
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՄԵՆԸ ՁԵԶ,"
	Մեծածավալ և հիասքանչ տաճարների

	Եվ ոսկեզարդ խորանների աղոթքը՝

	Ամենը ձեզ, և արծաթե լապտերը վանքերի,

	Ադամանդե շարքով հյուսված խաչերը:

	 

	Դուք ձեզ վերցրեք և փառավոր շքախմբեր,

	Եվ տոնական կախարդական զանգերը:

	Ամենը ձեզ, իսկ ինձ միայն բաժին թողեք

	Դժոխքներով անցած «Հայր մեր»-ը:

	 

	Իսկ ինձ թողեք միայն մատուռը հավատքիս,

	Տարեք բաժնեք այս աշխարհի գանձերը:

	Ամենը ձեզ, իսկ ինձ թողեք հուշերն անթիվ

	Եվ նյարդերից հյուսված կյանքիս էջերը:

	 

	Եվ թողեք դուք ինձ հեքիաթները իմ

	Եվ խաբկանքներից հյուսված ճամփաները,

	Եվ եթե հանկարծ չհասնեմ լույսին,

	Զուր չէին բոլոր աղոթքներս, Տեր:

	 

	Ամենը ձեզ` քարոզների խորհուրդն անգին:

	Ճանկեք կյանքի ձեր մարտնչած փառքերը,

	Իսկ ինձ թողեք ընկերներիս սրտերն ազնիվ

	Եվ տարերքին տրված խելառ օրերը:

	 

	Այսպես պոկված ճյուղի նման, կյանքի ծառից,

	Մոլորվեցինք այս աշխարհի մեջ:

	Եվ ուսերի վրա շալկած լոկ բեռը հավատքի,

	Եվ անաստված դարի մեղքերը:

	 

	Եվ թողեք դուք ինձ հեքիաթները իմ,

	Եվ խաբկանքներից հյուսված ճամփաները,

	Եվ եթե հանկարծ չհասնեմ լույսին,

	Զուր չէին բոլոր աղոթքներս, Տեր:
"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՆԱՌԱԿ ՈՐԴՈՒ ՎԵՐԱԴԱՐՁԸ,"
	Երբ անառակ որդու նման,

	Դառնաս՝ թողած քաղաքդ,

	Եվ դռնեդուռ փնտրես նրանց,

	Ում որ վաղուց կորցրած ես,

	 

	Սեղանի չորս կողմում նստած

	Նրանք են` ում գտել ես,

	Խոսքեր չկան, խմում ենք լուռ`

	Ուշ է, ուշ է...

	 

	Երբ անառակ որդու նման,

	Վերադառնաս քո տունը,

	Մթում կախված մի պատուհան,

	Ճոճվող ստվերներ անկյունում:

	 

	Երբ հայրդ ծեր դնի ուսիդ

	Իր դողացող ձեռքերը,

	Միայն կշշնջա կամաց`

	Ուշ է, ուշ է...

	 

	Հազար օտար աչքերի մեջ

	Գտնես նրա հայացքը,

	Նրան, ով որ սիրում էր քեզ,

	Սպասում քո վերադարձը:

	 

	Երբ անառակ որդու նման,

