Artist,Song,Lyrics
Mi Qani Hogi,SMS,"
[Նախերգանք: Սեբու]

Deep into love I sink

Deep, deep, deep...

Deep into love I sink

Deep into love I sink

Deep, deep, deep...

Deep into love I sink


[Տուն 1: Միշո]

Դու, հասարակ մի դերանուն

Քո անունն իմ բերանում

Ինձ տարել ես ու տանում, դեպի ու՞ր

Առանց քեզ ծերանում, աշխարհից նեղանում

Ինձ տարեք դեղատուն, մեկէ ջուր

Ես քո հետ եմ, որ առողջ եմ

Դու, որ չկաս, ես էլ ոչ մի բան անող չեմ

Կարոտել եմ тебя очень

Մենք մի մարմին, ուրիշները իրար պոչ են

Քեզ գրում եմ մատերով

Հեռախոսը ատելով, SMS-ը պատելով կարոտով

Ալիքները կապելով, օդերով, ամպերով

Փոխանցում բառերը տպատառերով

Հլը չի սկսէ կինոն մեր

Հա, մինչև էս, մենակ իմը, կամէ քոնն էր

Էրևումա ակնհայտ

Ծերանանք, ասելու ենք՝ մերը բոմբ էր
"
Mi Qani Hogi,Tar Indz,"
[Verse 1: Felo]

Տար ինձ քո հետ, ասում եմ

Տար ինձ քո հետ, վազում եմ

Սարից քո հետ, դառել եմ քարից պոետ

Խնդրում եմ տար ինձ քո հետ-հետ

Կամ էլ առաջ տար

Պատկերացնում ես մի օր հետոն առաջ գար

Տար ինձ քո հետ, ասում եմ

Տար ինձ քո հետ, վազում եմ

Սարից քո հետ, դառել եմ քարից պոետ

Խնդրում եմ տար ինձ քո հետ-հետ

Կամ էլ առաջ տար

Պատկերացնում ես մի օր հետոն առաջ գար


[Verse 2: Misho]

Տար ինձ քո հետ տենամ քո գույները որն են

Հա հենց գույները, էտ ամենա կարևորն են

Խորն են տողերը, ոնց որ ծովն ու տիեզերքը

Կողմ են նրանք, որ բառերը համ էլ զենք են:

Պետք են առաջինը ինձ, հետո եսիմ

Կամ լռիվ ուրիշներին

Կամ է կարող ա իմ պեսին:

Անտեսի այնպիսի մարդկանց ով միշտ տխուր ա

Իրանց չես օգնի, հանկարծ խրում են թուրը

Հենց իրանք, իսկ կյանքը էնքան թանկ

Ունեմ լիքը մաղթանք, ինձ համարում եմ պարտք

Բայց դե ում դեմ տանք

Սենց գանք ու չգնանք

Ստէ թեմաների հանք

Բերանս է ցամաք, մի հատ ջուր բեր:

Տար ինձ քո հետ տենամ քո աշխարհը որն ա

Հա ինձ պոետ համարում եմ ամեն օրն էլ

Տար ինձ քո հետ, ստէ անգիր ա ամեն ինչ

Որ մնամ համոզված եմ, դառնալու եմ ավերիչ:

Նենց որ…
"
Mi Qani Hogi,Yeghanak,"
[Intro]Never, never dieNever, never... die




[Hook: Misho, 
A. Chilla
]

Եղանակը քո մեջից հանի ու դուրս բեր

Եղանակը քո քամին էր, ես էլ վառվող լույսն եմ

Եղանակը արև ա թե քամի ու հույսերԴուրս արի քո հետ են մի քանիսը, իրանք դուրսն են


[Verse 1: Misho]

Մտածելու տեղ, մնացել ա նեղ պատին

Երազելուս տեղ, չմնամ նստած վախից

Որոշել եմ ես, էսօր հեռանամ սաղից

Սովորել եմ քեզ, կարող ա վերանամ մահից

Ուղղությունը իմ, փոխվելու ա էս պահից

Լռությունը ինձ, մնացածը քեզ պահի

Ուրախ եմ թե տխուր, կպարզվի էս տարի

Ներս արի, կհանդիպի քեզ բարին, չես սառի

Մտածելու տեղ, չի մնացել նեղ պատին

Գնացել եմ ես, էլ չեմ էլ նստելու վախից

Երեկոյան ես, չեմ էլ լինելու այստեղ

Ցերեկը քո պես, մեկնելու եմ տիեզերք

Ով էր ինձ պահել, կմնամ հավերժ ջահել

Ծերանալը հեչ, կարևորը չեմ մարել

Չեմ է մարելու, հալելույա բարե լույս

Հալվելույա էսօր ձյունը, ես էլ գնամ դուս
"
Mi Qani Hogi,Axjik Chxjik,"
[Verse 1: Felo]

Քեզ տանեմ կինո, թե կարմիր վարդեր

Որ քաղել եմ արդեն ոտերիդ տակ շպռտեմ

Թե քեզ կորցնեմ ու չփնտրեմ, որն ընտրեմ

Սպիտակ, թե կարմիր շորն ընտրեմ գամ հետդ ընթրեմ

Թե կասես խնդրեմ ու կթողես, որ գնամ

Թարսի պես մթնեց ու չեմ էլ իմանա

Ուր է հիմա նա, գուցե չմնա

Եթե չիմանա, որ չի դիմանա

Ուր է, ուր է հիմա նա

Նրան փնտրումա քամին

Ու ցանկացած ժամին

Քեզ կպաշտպանի դաժը Վան Դամից

Եսիմ որ ջանդամից, բռնել են 2 ժանդառմ ինձ

Ես էլ կատաղած ատամիս ցավից

Տվի դրա ճակատին էն ուժեղ քացովից

Դու էլ երևի սպասում ես տանը աղ ու հացով ինձ

Էն գեղեցիկ տանը, որ էրևումա ձորից

Ու լցրել ես իմ սիրած հյութը կանաչ խնձորից

Որ սառն էր, կամաց-կամաց տաքացավ

Արևն էլ մգացավ, անցավ, վարդերն էլ չորացան

Ես էլ մնացի մենակ, ոնց որ ինչ-որ արձան

Քեզ նույն տեղում սպասող ծաղիկներով քարացած


[Hook: A.Chilla]

Աղջիկ, որ չղջիկ էր ցերեկները չկար

Գիշերներն էլ դժվար գտնես էտ աղջկան

Երևի քո արյան մեջ աղ չկա ու վախ չկա

Կամ բախտ չկա գտնել էտ աղջկան:

Ով որ չղջիկ էր ու ցերեկները չկար

Գիշերներն էլ դժվար գտնես էտ աղջկան

Երևի քո արյան մեջ աղ չկա ու վախ չկա

Կամ բախտ չկա գտնել էտ աղջկան:
"
Mi Qani Hogi,Hayuhi Geghecik,"
[Verse 1: Միշո, 
Ֆելո
]

Հայուհուն գեղեցիկ գեղացիք նեղացրին

Ցավալիա որ հենց իրա քուչի տեղացիք

Ցավալիա բայց ինչ անես ում դիմես ով քեզ կօգնիՀուսամ որ էս կյանքում դու փնտրելուց չես հոգնի

Թե չէ ծնվել ես մի տեղ ուր գեղեցիկը թանգա նստում

Որ ընդամենը որոշել էր ման գար դրսում

Որ շատ էլ շոգա բայց միայնակ սիրտնա մրսումԿարեվորնա պակասում էլ լույս չկա հոգու ներսում


[Hook: 
Ռոլանդ
, 
Ֆելո
, Միշո]

Քեզ ման էկող մարդիկ կորել են

Ինչ որ մի տեղ փոսը փորել են

Ափսոս քեզ չտեսա հասցրեցի շեղեցին

Մի լացի արդեն քո հետ եմ հայուհի իմ գեղեցիկ

Հայուհի գեղեցիկ քեզ նեղեցին տեղացի գեղացիքՀայուհի գեղեցիկ քեզ նեղեցին տեղացի գեղացիքՀայուհի գեղեցիկ քեզ նեղեցին տեղացի գեղացիքՀայուհի գեղեցիկ քեզ նեղեցին


[Verse 2: Միշո, 
Ֆելո
]

Էլ տեղ չկա փախնելու ամեն ինչնա վախ բերումԲառերն օդում կախվելու ու իրար են բախվելու

Քեզնից անկախ հեռու հեռու տեղերը քո նման

Գեղեցկուհուն ձեռների վրա տարել էին հիմա

Իսկ քո տանը քեզ չեն թողում շնչեսԿտան ռետին որ ինչն ավելորդա ջնջես

Դու դավաճան չես հոգուդ հանդեպ էրեվումա մեջիդ պատը դա չեք կարա քանդեք
"
Mi Qani Hogi,Dzmer,"
[Verse 1: Felo]

Բառերիս մեջ ասեղներ կան,որ մատերս են ծակում

Ենթատեքստ ` ամեն մի վանկում

Եթե ենթադրես, որ անկում ես ապրում

Հավատա քո անունն էլ կա Մի Քանի Հոգու ցանկում :

Մոլորակը մոլորվելա ու թարսա պտտվում

Շրջապատը հա բթվումա, թթուն ել` թթվում :

Մեկ մեկ լավը անջատվումա ու վատնա մտնում

Լավը կորցնողը միշտ վատնա գտնում:

Մարդիկ հա վազում են փառքի հետևից

Մոմերն ավազում են հալվում են, գնում

Բայց փառքը կարա պառկի հետևից

Դունչը հասավ խաղողին ուրեմն դնչինեն դնում:

Պիտի մի լավ օճառվես, որ լավ վաճառվես

Քեզ ասումա «Մոտ արի» հացի հոտը Օտարի:

Ընկճված ես, մոլորվածես ու չգիտես ինչ անես

Օրերն ել փոխվում են, գնում ու էլի նոր տարի։

Ու էլի ստից ժպիտ, սառը համբույրներ

Տաք երկաթին մի կպի ` վառվումեն գույներ։

Ու էլի սառը գիշեր ու սառը ցերեկ

Մի բան պիտի ցրեք

Մի բան պիտի ցրենք։

Պոկված մտքեր կան պիտի իրար կպցնենք

Հավաքենք, տանենք հեռու։

Թող բաց մնա դուռը որ մեզ չհարցնեն

Ինչի՞ ենք տաքը սառացնում ու սառը վառում

Պոկված մտքեր կան պիտի իրար կպցնենք

Հավաքենք, տանենք հեռու։

Թող բաց մնա դուռը որ մեզ չհարցնեն

Ինչի՞ ենք տաքը սառացնում ու սառը վառում
"
Mi Qani Hogi,Mutq,"
[Intro]

Մի քանի հոգի

Սկսեցինք


[Verse 1: Ֆելո]

Ինչքան բանա արվել, ինչքան պիտի արվի դեռ

Կրակ հանկարծ չհանգես, ավելի պայծառ վառվի դե

Մի քանի հոգին

Խաղի մեջ եմ երկրորդ անգամ

Գրել եմ

Գնամ փորձեմ

Ու գամ կարդամ

Դժվարա բացատրել ամենահեշտը

Բայց փորձում ենք ժամանակը չի կոտրել մեր մեջքը

Դժվարա հասկացնել էն ինչը պարզա

Ամեն ինչ քիչա, տխուրա ու թարսա ։

Ավելի լավա լսի 10 հոգի, 10 անգամ

Քան թե 100 հոգի ու մի անգամ

Մասսան կա

Բայց ո՞ւմա պետք կամ էլ

Ո՞վա պետք նրան

Պետք են էլի բառեր իրար վրա շարքով դրած ։

Պետք են էլի մարդիկ, բայց էսքանով էլ քիչ չենք

Պետք են հանգեր կգան

Մոմեր կան կփչենք

Մի քանի հոգի

Մի հատ էլ ալբոմ

Բառերը թոփերով, մտքերը մետրերով

Փորձի մեզ խմես, կամ էլ փորձի մեզ խմես

Ժամանակը, որ քեզ տրվածա անիմաստ մսխում ես

Ժամանակը, որ քեզ տրվածա նայումա հետևից արդեն

Էս սեմպլը հավաքվելա, ոնց կհավաքվեին վարդեր։

Ավարտից առաջ նոր սկիզբ կա

Էսքիզ կա նոր

Կան նոտաներ քեզնից դեպի ինձ տանող

Նկարելա նկարիչը

Նկարի մեջ

Նկար

Մի քանի հոգի, բերել են էն ինչը չկար։

Ավարտից առաջ նոր սկիզբ կա

Էսքիզ կա նոր

Կան նոտաներ քեզնից դեպի ինձ տանող

Նկարելա նկարիչը

Նկարի մեջ

Նկար

Մի քանի հոգի, բերել են էն ինչը չկար։
"
Mi Qani Hogi,Nerqevic,"
[Verse 1: Միշո]

Նա մի քանի տարեկան էր

Խուլ քուչա

Այսինքն շունը բարեկամ էր...

Ամեն օրը նենց նման էր նախորդ օրվան

Ու մեկա նորը բավական էր

Երազում էր մեկը տաներ

Թեկուզ սևան, ասում են ցուրտա

Բայց դե, տաներ...

Տնեցիք հավքում են մանր

Որ գան-գնան

Ու սաղ հիվանդ են, էնքան ծանր

Հենց կողքինը խուլ ու համր

Բայց չեն գալիս ոչ իրա հերը, ոչ էլ մահը

Սաղ տարբեր են ու նման են

Ու սենց տեղերն ասում են հենց դրա համար են...

Աղմկոտ են ու համառ են

Անկապ խնդում, կամ էլ լացում են՝

Անդաթար են․․․

Ինքն էլ ծանր հաշմանդամ էր

Ով միշտ նստած պիտի մնա էտ մանկատանը


[Hook: Ռոլանդ]

Գոնե մեկը, երևի

Ինձ տեսներ վերևից...

Գոնե մեկը,երևի

Քեզ տեսներ վերևից...
"
Mi Qani Hogi,Ancoghika,"
[Hook]

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի


[Verse 1: Ռոլանդ]

Կարևոր չի ամեն ինչին հասնես կյանքում էս

Կարևորը, կարևորը հասնես կյանքում՝ էս

Քեզնից հետո  կամ կսիրեն, կամ կհայհոյեն, ու կանցնեն հաջորդի վրով էլ

Նայի քայլելուց չսայթաքես, թանկ կնստի սրտիդ վրա էլ

Ու երկնքում ամեն ինչ գրվում է, պատասխաններին, որտեղ շատ մոտ ես:


[Verse 2: Միշո]

Թող սաղ անցած լինի

Իմ ու քո մեջ ամեն ինչ բաց լինի , բա ոնց

Մեր էությունը կայացած լինի, գլուխը բարձր, ոչ թե մեկ – մեկ ցածր լինի

Թե չէ հագցնու~մ ա դառնացած ուղղին էլ, հանում ու նստցնում ա չորացած ճյուղի~նն էլ

Էտ անցյալը, ընդհամենը կքաղենք միջից , իսկ ցավը, եթե պետք ա կհանձնենք գրիչին դարձյալ

Դրա համար թող սաղ անցած լինի

Հերթական մի օր գնաց էլի

Ու լիքը բան անվերադարձ կլինի, գիտե~մ ու որ էտքանը հասկացածներին մի տե, կուզեմ օգնած լինեմ

Թեկուզ աշխարհը դառնացած լինի իմ դեմ, պտի անցածը շպրտեն, մի օր նետեն

Ուր հավաքվում ա փչացածը , ու քցելու ենք էն ամենը, ինչը ստորև հնչեցրած ա:


[Hook]

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի

Ամեն ինչ անցողիկ ա, անցողիկ ա, անցողի-կող

Մի քանի հոգի կա կմնա, մի քանի, մի քանի, մի քանի, մի քանի
"
Mi Qani Hogi,Barer Beranics,"
[Verse 1: Միշո]

Հիմա խոսա մի քիչ մուրացկանի բերանից աքսոսրված եմ

Կորցրել եմ ինքս ինձ` սննկացած եմ

Մի էրկու կոպեկ տվեք ես համաձայն եմ

Կարաք ինձ կոպտեք ես չեմ լսի հարբած եմ

Իմ ցավերը շատ են կուտակված

Հույս չկա ես անհույս արարած

Տուն չկա դուսը բայց նստած

Նենց սոված եմ կյանքն էլ կշտացածա ինձնից

Հույսս քանդվածա հիմքից

Ու թեկուզ գետնին կիսապառկած եմ

Հա դե հասկանում եմ մի տե ես կրված եմ

Սուտա ոչ է  շանս կտա ինձ մեկը

Թաց են միշտ զույգ աչքերս արդեն կուրացած եմ

Եթե շանս էլ կա դուխաթափված եմ

Եթե մահս գա գրկաբացված եմ (գրկաբացված եմ)


[Hook]

Ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր

Ու դրանովէ ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր

Ու դրանովէ ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր

Ու դրանովէ ես մեջիցդ հանեմ բաներ

Էն ժամանակ երբ իմ մեջից ես հանում բառեր
"
