Artist,Song,Lyrics
Misho,Hastat Apeh,"
Վոշմ սենց ապէ, լրջացանք մեկա ոչ էլ պակասեց ապէ

Համ օյաղ համ էլ մի տեսակ բացեց ապէ

Ասեք ջան, համ էլ ջանս մտավ ցեց ապէ


Քել ղժժանք, մարդ կա դրանից լացեց ապէ, Բնական առանց որևիցէ ցենզ ապէ

Տնական, պետականը չսազեց ապէ

Հայկական, դաժէ հերս որ մարսեց ապէ

Լսարան, էտա սաղ ապացուցեց ապէ

Մսաղաց մեջը ով էլ չդզեց ապէ

Լուսաբաց, օրրգանիզմս չքնեց ապէ

Կթվա բզբզում եմ, բայց բզեց ապէ

Քեզ եսիմ կարևորը մեզ դզեեեեց ապէ

Կթվա մեծամիտ ենք, բայց հուզեց ապէ

Էս մեկից չէ, դե որևիցէ ԻՑ ապէ

Հնդկական նվնվոցա Սերժոից ապէ, Էս ժառգոնն էլ վրից և ահա․․․․․․․․․․


Հա հա հա հա... Հա հա հա հա(հա ինչ ապե)... Հա հա հա հա...

Հաստատ ապէ(ասա)

Հա հա հա հա... (ասա)Հա հա հա հա... (ասա) հա հա հա...

Հաստատ ապէ

Հա հա հա...(ասա)Հա հա հա հա...(ասա)Հա հա հա հա...

(հաստատ)Հաստատ ապէ


Նոր դառա 30 ու գնալով էրևումա ովա ով իր ներսուում

Պլյուս մարմինա մերսում, երբ որ բիտը խբումա դոշիդ էլ դու սուուս

Մի հատ գլուխ երկու ուս, ով որ քիչա կարում աղոթումա

Հիսուուս Ինքս ինձ եմ ինքնուս, ինքս ինձ եմ ուղում, ինքս ինձ եմ իմպուլս

Վոշմ լավա, հա բա ինչ նվնվանք զահլես տարան ապէ

Ապեր սաղ թխոցիա ու հարամ ապէ

Ամեն դաշտ՝ մյուզիքից քաղաքական ապէ

Մեկին վատ չի թվում, մեկին թալան ապէ Ես իմ փայ, որտև անկուսակցական ապէ

Վոշմ սենց, վոշմ մարդու տարրական ապէ

Հլը նոր ենք բացվէ ինչ բավական ապէ

Բանական, արական, առռռա հա, դե բա հա․․․․
"
Misho,Srtis Hyury,"
[Verse 1]

Բաց սիրտս՝ ան բանանալին

Ես հեռու եմ սրտիցս, ես չեմ կարա ինքս

Դեռ ունեմ էնքան անելու, մի օր կգամ

Հիմա ես ժամանակ չունեմ, ինքս սիրտս բանամ

Գրական ա, բարդ ու գրավում ա

Չէ՞ որ դրական ա մարդը, երբ խոսում ա

Առանց լացելու՜

Նոտաներով ասում եմ՝Դու լ-սի, դու լ-դո, դու լ-ռե՝ շեղվա



Թեկուզ նեղվա դեմից ու անհարմար ա

Համ ձմեռ ու ցուրտ ա մեջս, համ՝ ամառ ա

Իմ շունը համառ ա

Զգուշ, բայց առխային

Եթե մեջիցդ հոտ չէկավ՝ հանգիստ մտի

Բա մարդ որ չփթի

Ուրեմն հյուր ա մոտս միշտ

Ով չունի մեջը վիշտ

Չեմ ջնջում մեկընդմիշտ

Մի՜շ, կասե՞ս ինձ խի ես պատմում

Սաղ սրտիս մեջ կայնած ես

Ու չես էլ նկատում՝ ավա՜ղ:


[Chorus]

Լույս չկա մութ ա սրտումս

Տենց ողջունում եմ՝ բա հյուր ես

Իսկ շրջապատումդ ինչե՞ր են լողում

Բա ես չպատմեմ, դու սաղ բաց ես թողում կյանքս

Լույս չկա մութ ա սրտումս

Տենց ողջունում եմ՝ բա հյուր ես

Իսկ շրջապատումդ ինչե՞ր են լողում

Բա ես չպատմեմ, դու սաղ բաց ես թողում կյանքս
"
Misho,Nax,"
[Intro]

Նախ արի հասկանանք ուր հասանք

Ինչա խոսում էսօր լուռ մասան

Գնացինք

Տենանք ինչ դառանք


Մնացին․․․ ով չուզեց խաղա

Չէ ես էլի խաղաղ, ուղղակի դեմս էնքան դաղալ

Նախատեսում եմ էսօր աղամ...


[Verse 1]

Նախ, գրածս դատելուց միքիչ զգույշ

Որ սկսել էինք էն վախտ կլսեի արդեն ուշա

Դառել եմ խուլ, լսում եմ էն ինչ կարամ

Ինձ հանի օդերով, ոչ թե հարավ


Ասատրյան Արամ կամ Խաչատրյան չեմ

Լրիվ իմ գետով հոսում եմ ու նման չեմ

Վափշե ռեպեռին սկի

Սիրում եմ «հա չէ՞» այ ոչ թե «եսիմ» միշտ

Փորձում եմ կանչեմ ով նույն իմ խելքին


Նախ ամեն անգամ ինչ որ բան կուտակվումա մեջս

Ու նորից սկսում եմ։ Եսիմ երբա վերջս

Նախ ապրել սովորենք թե չէ մյուսը հեշտա

Որ գարունը չգա մեկա լիքը էշ կա
"
Misho,Oves Du,"
[Կար]

Ով եմ ես, դու լավ էլ գիտես

Ով ես դու՝ хуево, եղո ցուցահանդես

Մարդկանց պոնտերի ապե մանկապարտեզ

Քեզ էտի մտերիմա էլ ինչ ասեմ քեզ։

Ով ես դու ու ինչնա քո պիկը

Բասեյինով դոմիկը, safe-ում cash-ը լիքը

Սիրումա կնիկդ, երբ որ գրպանից

Գնում ես տոմս, թռնում Երևանից։


Ով են ուրիշները որ քննադատում են՝

Գնա լավդ քունեմ

Ինչ ուզում անում եմ, ունեմ մի հատ կյանք

Ուրեմն պտի տանք գազ, ստեյենք ու կանք

Ով է մտածումա կպելենք իրան

Ապե ջան դու ով ես մի էղի նիրյադ

Որ ասելու բան կա ուրեմն տետատետ

Ոչ թե երգերով, մի կողմ ինտերնետ։


[Խուդո]

Սեղանին պիվի շշեր, ոչ մեկի չկպա մատով

Էս դռնից դուրս բիրիք, թե չէ թանկա հատով

Ռեպը շտանգա քաշով, թե կա քաշ տենց քաշող

Ուրեմն դոպինգի տակա, այսինքն на хуй пошёл

Դեմքս մուգ թրաշով, ֆլոուս էլ նույն կուռաժով

Լսի դրանց երգերը, վռոձի սաղ խփող են Կալաշով

Հետդ կիսվում եմ տետատետ, բայց տենաս ով ես դու

Պատահական կողից անցորդ, թե լսող ես ու

Սպասում ես նոր track-երի գանգդ թափ տանք

Եթե ճիշտը պակասի պտի շտապ գանք

Չկա խաբկանք, սաղ прямой էրեսին դե լսի

Մեջը ծուխ գրամով ոչ մի գրամ Hennessy։

Չնայած ով ես դու կարողա պետք չէր հեչ էլ

Սկսել էս բանավեճը խոսում եմ մտքիս մեջ

Բայց դու լսում ես, վերջը չիմացանք է ով ես

Թարս բթեր շարող թե լավ էլ բաշարող ես

Լավ էլ պաշարով ես, թե մեջդ լրիվ փուչա

Տարիքային զբաղմունք քո ջոգելով սաղ լուրջա

Լիքը սենց բան տեսել ենք, թե սենց բան չկա

Թե սաղ անտեսել ենք, կորել ենք չկանք։

Ման ես գալիս ցրողին, թե ցրում ես քուչեքը

Կաչ ես անում պցերին, թե լսում են տղեքը

Քցում ես աջ ու ձախ, թե լռվում ես կողս դու

Մեզ դե գիտես լավ, ինձ ասա ով ես դու։
"
Misho,Zarancanq,"
Առավոտը արթնացա

Երբ արևն իրան կախում էր

Բայց վռազ ուրախացա

Որտև դուսը մառախուղ էր

Ժողովուրդնէ նենց տխուր էր

Սիրում ա պարզ

Ես սիրում եմ լինի խորը ու թաքուն

Սիրում եմ թարս

6-ը, 8-ը, 9-ը, 10 րոպեից տնից հեռու եմ ես արդեն

Տենց Երրորդ Մաս քշեցի

Քանաքեռում եմ,բայց արդեն խփում ա բաս

Ես կասեի արդեն տփում ա

Ձայնաալիքներ վրաս

Ոնց Սևանը մեր ծփում ա

Մինչև վերջ կոխել եմ գազ

Ու ֆռֆռում եմ, որ քաշես՝ կհասկանաս

Ես օյաղ եմ բայց թռնում եմ

Անընդհատ ունեմ պակաս ստէ

Իշքան էլ ըմբռնում եմ՝ կորելու եմ, չտենաս

Բայց էլի հայտնվելու եմ՝ հարսանիք, փեսա ու հարս

Երդվում ու հանձնվում են

Էդ թղթերը ինձ չտաս

Ես արդեն իմ գանձը ունեմ

Ինձ գիշեր ա պետք վռազ

Որտև լույսը ես ատում եմ

Դու խափում ես՝ մոտ չգաս

Ովէ մոտ ա՝ հավատում եմ

Ամեն օրը՝ ոնց որ դաս

Որ ներկա ես, արդեն լավ ա

Պետք ա լիքը կարանաս

Որ հեռու մնա էն ցավը

Որ ցավաէ չգոռաս

Քեզ ոչ մեկի օգնելու չի

Կտրտել եմ անանաս

Բայց էս հեչէ ուտելու չի

Հակամարտություն ա, վազք՝ ես կասեի

Էս հանրությունը խեղտվում ա

Մեկը պաս պահելով ա որոնում իր փրկությունը

Մեկը ֆաս ասելով՝ հրամայում ա, որ բռնեն

Որ ոչ մի մասսա ճամփին իրան՝ ծերից չհայտնվեն

Ասում եմ, հա ստե ինձ բան կա խանգարում ա

Ես օգտագօրծում եմ բառ

Իսկ լռելը թանկանում ա

Բայց աչքերս՝ հլը վառ

Ու դրա համար փակում եմ

Որտև ման էի գալի մարդ

Բայց կորել են կամ թաքուն են

Զառանցում եմ, ապէ, նաղդ

Տաքությունս բայց զրո ա

Պակասում ա դաժե վախ

Կամէ ուշ ա, պառանոյ ա, արդեն խորը մոտս բախտը ճամպե

Ու հրճվում եմ

Կապնվում ես, թե չէ, վախտը կգա

Կարող ա, դուս գամ, որտև քաքի մեջ եմ, յախք

Կասի տատը, որը կույս ա

Պասի, չեմ պռծել ես, ախ

Հատուցումն ա, ներսը, դուրսը

Մարդուն չեն պխծե,մեզ

Մենք ենք, ինքներս մեզ, ջրում ենք՝ ցեխաջուր ա

Պռոստը մենք ենք ինքներս մեր ձեռը, տանջվում ենք

Լավ էսքանը պետք չէր, թո՛ղ

Սենց գնա, մի քիչէ շունչ քաշի լսողը,վոշըմ"
Misho,Sagh Menak Uzumen,"
Դու փորձում ես ման գալ կորցրածը ինադու

Գիտես բայց թանկ ա վստահելը ու անդուր

Որտեւ խանգարելու էլ ա

Կասկածում ապրելը հենց էդ ա, խառնվել ա


Ով սիրեց - ատելա հետո, չեմէ մանրանում

Հեքիաթից հելա՜ , արդեն էլ չեմէ զայրանում

Զարդարվում են , հա՜, բայց արդեն չենէ զարգանում․․․


Ինձ մարդիկ տհա՜ճ են, որտեւ նենց եմ ձանձրանում

Մեջը փուչ են, լո՜ւրջ եմ խորացէ վաշէ ով ովա


Բայց սկզբից ծանոթացել եմ ի՜մ հետ

Հետո նոր արդեն մտա սաղի մեջ

Բայց մո՜ւթ ու մառախուղ էր

Սաղ ուզում են սա՜ղ

Բայց իրարից արդեն վախում են

Հեռանում են

Ո՞ւմ են համէ հետաքրքրում

Մենակ ուզում են

Ու չենէ վաշէ հետաքրքրվում կյանքում էս ուր են ․․․


Հա՜ ու տառապում են

Հա՜ ու թաքցնում են

Հա՜ ու հարցնում են

Որ էլի քեզ չլսեն

""Հանգստաց"" - կասի էդ քիչ ա

Ֆռա՜ց, ոնցոր կարիճը վնա՜ս կտա

Ու մինչեւ գիտակցես ասածս ինչ ա
"
Misho,M.I.Sh.O.-N Ed Hapavuma,"
[Տուն 1]

Barevy Astcunna, hajoxy satanunna

Hajoxa goh em tuyna stacvum qo mot Mish jan

Gidem sirtd lena du ches hishachar, charahish kam

Gjvel em Njdeh em, zinvor em hertov gravum bajanum em

Bari kendani uxxaki lsi, meke lsi chkpnes indz es dajananum em

Jarita varum em, varacy darna isk es dary sirum em

Ytenc kariqa, kesy shat kariq ka, ktenas kam tenum es

Vor very kenum es, mite qez henum es, vor chngnes chnshumd es em gervum es

Asa brat jan umes lsum indznic heto? Du mtaci, isk indz mihat mohito


[Կրկներգ]

Misho, Mishon ed hapavuma, ynenc anuna vory kataruma

Մ-ն еd masivci

Ի-ն munat hnchyuna

Շ-ն sshumem

Ո-ն vor voraks shnchum en

Misho, Mishon ed hapavuma, ynеnc anuna vory kataruma

Մ-ն ed masivci

Ի-ն munat hnchyuna

Շ-ն sshumem

Ո-ն vor voraks shnchum en


[Տուն 2]

Misho, Misho hetis rusy asuma я хочу тебя ещё

Inch shoqa, shoqa ed indznica krak em, krakem beranov u tshov

Havata cavota, toxuma xory spin, ey Natasha zartni, Uni spin targmani

Ingt hame chdzandzranas, uxexid poxaren ktrtac ananas

U siropa, du karq chunes, sax im mota

Вообще qanisina anter samalyotd gna es hogna qezanic, mezanic du inchqane sexot u spanox hota

Ancanq es teman gexecik, xmichqei uzel bereciq?

Achqers pak kartum em, crumem qez, bayc mejd sax hartum em
"
Misho,Tra Una Follia E L’Altra,"
[Intro]

2005, la rinascita di Misho, se...


[Rit.] (x2)

Tra una follia e l'altra

Scrivo rime sopra al muro e non sopra la carta

Lo schema adesso salta

Non voglio avere più segreti con nessuno

Nemmeno col mio vicino

Sono così e così perciò cammino


[Strofa 1]

Se sono negativo è perché da un anno non respiro

Poi la mia rotta non cambia giro

Per questo mi vedi sempre in tiro

Tra dimensioni, pochi alti, molti bassi

Sento lo stomaco trasformarsi in un sacco pieno di sassi

La gola è secca, l'acqua non rinfresca

Giro una canna di 3 grammi, la fumo ma non mi basta

Nemmeno una pera di eroina in endovena può calmarmi

Se assumo anfetamina poi non puoi fermarmi

Meglio se non mi drogo

Meglio se trovo un modo diverso per dare più spazio allo sfogo

Ok, ci provo, non garantisco nulla

Per me la vita è bella come quella di Benigni

Cerco di alleggerirla

Rido più spesso, diminuisco il peso addosso che porto

Spalanco gli occhi, prendo la sabbia

Ti centro in pieno nell'occhio

Metto una bomba sotto il culo di ogni stronzo che passa

Schiaccio il pulsante rosso e rido mentre lo guardo in faccia
"
Misho,​introvert (call me crazy),"
[Intro: Sebu]

Call me crazy


[Chorus: Sebu]

Call me crazy

My feet move fast

My heart beat slow

Call me crazy

But my mind is always on the go


[Verse 1: Misho]

Ինձ ձգում են պրոբլեմները

Իրանց հետ շփումը թող ցույց տա իմ դերը

Օգնում են երգերը

Ու նրանք, որ՝ սրտումս գտան իրանց տեղը;

Ու մեկա  անտեր ենք, համաձա՞յն չես

Արի դէ մուննաթ գանք ու տենց լիքը մարդ կա

Էն գիծը հատել ենք ,ուր՝ վնաս չենք

Ընտրել եմ ,կրոնս ինքնահավատքն ա

Գիտե՞ս ամեն բառը համ թույն ա, համ դեղ

Ու թուքը մեկի ՝ կարա մյուսի արցունքը դառնա

Մենքէ ման ենք գալիս նենց մի տէ

Ուր՝ մեր սխալները վրեքս էլ չանդրադառնան

Ապէ մի ասա՝ ""որովհետև""

Էտ բառն ապացույց ա, որ մենք իրար չհասկացանք

Տենց խոսում եմ ես ինքս իմ հետ

Թվում ա երկուսսէ հանգստցանք
"
Misho,Txur Mardik,"
Իմ մարմինը հանի դուս

Ազգս խառը կեսը կույս

Կեսը մենք ենք, կեսը բույս

Սաղի մոտ կա մի հատ հույս

Համ մինուս ա, համ էլ պլյուս

Ես պալիտ եմ արէ սուս

Ինձ հերիք ա, բարի լույս։


Հույսերի չունեմ կարիք

Դառա խոսքերի բառիկ

Ինքս ինձ ունեմ տալիք

Համ ձյաձյա եմ, համ բալիկ

Քաղաք լիքը համբալիկ

Որ բռնես, անես ժարիտ

Ես բողոք չի, պռոստը հույս էր։


Սաղս ման ենք գալի ճիշտ, բայց սխալ

Ասում եմ, մեկ ա ման ենք գալու միշտ

Ճանապարհի եզրերին դիմանում ա կեխտոտ ձյունը

Համ անցյալն ա մեզ գերի, համ թերի համբերությունը


Ինչ ուրախ եղանակ ա, մարդիկ տխուր

Բայց ինչ ուրախ եղանակ ա, մարդիկ տխուր

Բայց ինչ ուրախ եղանակ ա, մարդիկ տխուր

Ինչ հաճելի եղանակ ա, մարդիկ տխուր
"
