Artist,Song,Translated_Lyrics
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՀԱ ԵՎ ՎԵՐՋ,"Here is an end

End of paragraphs and lasting

As a last closed page

And no return already

Oh native bugs

You my last Last Prayer

Suburbs of prison psyche

Chain and solo

Here. And the end

In the heart of a powerless cry

Oh unfinished my song

You my last capital

Now we believe

Where is the Spirit's Church?

We won the war

But it turns out that we lost

Here. And the end

Tell me a voice from the depth

Is the mask of the mask now speaks

Which puppet is the crowd?

The song is the arrow of freedom

And the spear of myth

Bel Joschin Hayk won

Or the opposite of probably

And the pages close the myth tired

Stone Statue History Forgotten

There is no start and finish for this eternal struggle

Your Type of Elimination is delivered to Bell

Here. And the end

Hayk lost to Bell

Here. And the end

I lost in a terrible battle

The song was hit by my unfinished

But why not end

Oh native bugs

You my last Last Prayer

Printed Hoku suburbs

Chain and solo

Here. And the end

In the heart of a powerless cry

Oh unfinished my song

You my last capital

Now we believe

Where is the Spirit's Church?

We won the war

But it turns out that we lost

And the pages close the myth tired

Stone Statue History Forgotten

There is no start and finish for this eternal struggle

The abolished type is losing Bell

Here. And the end

Hayk lost to Bell"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՄԵՆԸ ՁԵԶ,"Large-scale and wonderful temples

And the prayer of golden tabernacles

All you and the silver flashlight of the monasteries

Khocks woven in diamond



You take you and glorious receivers

And the magician calls of holiday

All of you to leave me only

Father for Hell



And leave me only the chapel in my faith

Take part in the treasures of this world

All you and leave me memories

And the pages of my life woven from nerves



And leave me the fairy tales

And the ways woven from scams

And if I don't suddenly with the light

Weren't all prayers in vain



All will give you the advice counsel priceless

Clasp the glory of your life

And leave me my friends' hearts honest

And the crazy days given in the element



Thus torn branch like a tree of life

We were lost in this world

And on the shoulders only the burden of faith

And the sins of the ungodly century



And leave me the fairy tales

And the ways woven from scams

And if I don't suddenly with the light

Weren't all prayers in vain"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՆԱՌԱԿ ՈՐԴՈՒ ՎԵՐԱԴԱՐՁԸ,"When like a prodigal son

Become your own city

And seek out the door to them

Whose long have you lost



Seated

They have found

There are no words we drink silently

It's too late to late



When like a prodigal son

Back to your home

Smoothing depending on a window

Swing Shadows in the corner



When your father put your shoulder

His trembling hands

Will only be willing to slowly

It's too late to late



In a thousand foreign eyes

Find his gaze

Whoever he loved you

Waiting for your return



When like a prodigal son

Returns love

You hear a short answer

Hey is late



And to whom in which life is

Everything has its own return

I always find it late

Whatever you have lost a long ago



When like a prodigal son

Returns the conscience

You hear a short answer

It's too late to late"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՇԽԱՐՀԻ ՑԱՎՈՎ,"My heart with Kariy's world pain

How much suffering God my four disc

Every sea blowing from the fields of life

He will take sighing and grief



Innocent victims of blood boilers

The land will always be wet under my feet

And new judgments around me and far away

People are born with blood drunk



Will become a spoil and famine

Bright babies like light

And the foot of the foot is countless

Worker's sweat anointed



I'm how I sit on a picnic table

And drink happy enjoyment wine

Whenever people will be a haven

The raft of the mouth of the mouth of the bread



God Me How Unjust Dedicated

How can I put a stone in my conscience?

Lives:

My soul is sick with the pain of the world"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՌԱՋ ԳԻՏԵԻ,"I was known before

What people would be a world

Sun Why would he pour out gold?

Flower on the shores of the tree Dally

Why would the song sound?

Ago I knew now I don't know



I was known before

What did the stars say bright

Depending on the arch of the sky

Where the carshawn run is a feverish

Everage of our planet

Ago I knew now I don't know



I was known before

Why People Laugh Powder

Was mixed with crying blood and tear

And why on the ancient way of life?

Vihi would look at every tall

Ago I knew now I don't know



I was known before

What was there from life from death?

What treasures did the future have secretly

And in which unusual newfruited light

Would have opened every grave suddenly

Ago I knew now I don't know"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՍՏՂԵՐ,"Countless stars in the sky swimming

But people never look up to top

The views hangs always on the ground

Stornly heart What a miracle sky



The blue sun swims in the sky

The clouds but closes the sky

Shinks last drowning here

But no hearts are upset even



Pity the stars torn from the sky

The sky is paved to the ground flattened

The stars tore the torn pity

Pity sinked dreams of his"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԱՍՈՒՄ ԵՆ,"They say short of life

Makes the heart of the heart soon

But in the sun apricot

Young and old man

Here is a standing series.

Trim



They say sweet life

And the glory of the infinite country

But in the slaughter of the burlast

Beautiful against flowers

People here are a thread thread

Trim



Say deep is life

The mine of the country is light

But against the call of the rainbow

Or of stars' council

People here are a thread thread

Trim



They say new life

The call of love will always ring

But an anger without a poet

Table with salt and bread

People here are a thread thread

Trim"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԲԱՐՈՎ ՄՆԱՔ,"Doors one by one closure

Like pages past my life

Pages keep light in the heart

The rest gives the wind

And the removal of

Stay with bar



Good with good my childhood

That you still live burning in my heart

Little Violin Stone Yard

Deaf alert of exile

Fight and game

Stay with bar



Do you keep my friends?

That would share me the days old

I will remember every second

Those who already have no

Blessed be

Stay with bar



Good staying in my city

And the streets of my own

I measured you a thousand times

Faces familiar with good and gray

Irony smile and curse

I will still come

Stay with bar



I leave myself away

And bridges back I don't burn

I'm leaving that I will become

A thousand closed doors

Now I'll go

Stay with bar



Good with the last my love

The moment of loss is silent and petrified lips

Night Night Hands Pressed

And the doors of the loss open

I closed

Stay with bar



Stay barefeated days

Sleepless thousand my nights

Stay with good words worn

Faces tired

The doors of the new deceitful doors open

I do not believe

Stay with bar



Last loss with good

The last my hope is

Dream Last:

I leave the most

Of all kinds of false games

I don't play

Stay with bar"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԴԱՏԱՐԱՆ,"Tied up for a long time with your eyes with palasses

Rustled the scales of your hand for centuries

Stole the weights of your conscience

You are the righteousness you are hey



I mourned I idols my old and new

I won't stand in front of you

I'm imprisoned for life this life

And already punishment is that with the highest article



I burned all the doors open and closed

Locks Take You Hay Memory

I sewed the white wings in black thread

I'm telling me you won't fly to break jump"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԴԻՄԱԿԱՀԱՆԴԵՍ,"That I rely on the words

That hopes to Parur

And to make my soul again

And to whatever call

That I will be guided by a lighthouse

Who will steel the dagger my back



Which voices will I get

Which pains will I know

That in the dark I will I will crumble again

And which ly I will believe

What will I get up again?

And what sacram will I leave life?



Trees of indefinite trees

In the streets of our lives

Hide our votes

In leaf veins

And yellow parchments

On the sidewalks browse

And the land is inherited



That I will bless the light of the eyes

That I rely on the psalm

And who will kick my violin with cold

And whom hate hate hate

Whose magical love worship

Which losses will I centage?



In which city to disappear?

That I have been in the cell cell

And whose mask do I pour out of his face?

Which lights will I be blind?

Which pain are you?

Whose bullet will I leave with life?



Trees of indefinite trees

In the streets of our lives

Hide our votes

In leaf veins

And yellow parchments

On the sidewalks browse

And I inherit the Mormok of the land



That I will bless the light of the eyes

That I rely on the psalm

And who will kick my violin with cold

And whom hate hate hate

Whose magical love worship

Which losses will I centage?"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՍ ՁԵԶ ԱՍՈՒՄ ԵՄ...,"I tell you the famine of the spirit

And you will give a luxury table

You will fall with a murry

Nostalgiating the sublime word of speech



Inspent to the mockery

A bright discase of the spirit Thought and dream

You danced drunk in the temple of the material

Forgot the immortal fear of immortal



You have ironicized the power of creative

The famine of the spirit will enter your material

And like a beggar for crumbs

Thirsty and note to sea sea"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՍ ՉԳԻՏԵՄ,"I have two houses close

Do you have two hearts?

Do you have a contact with two wings?

Don't have two Lords



Play a game with my soul

Dance with my heart of my heart

Call to my Monastery call

THEY SAYATNOV ARE



Plowed with a duducle breath

I will endure my spirit pain

The world's lies will go blind

I will leave the jealous poison



Ordered Gusa with mockery

My songs hostage

The throat's voice has been snatched

The conscience of these people has disappeared



Play a game with my soul

Dance with my heart of my heart

Call to my Monastery call

THEY SAYATNOV ARE






Word of Sayat Nova Arthur Meschyan

Music Sayat Nova


"
ԱՐԹՈՒՐ ՄԵՍՉՅԱՆ,ԵՍ ՓՈԽՈՒՄ ԵՄ ՍԼԱՔՆԵՐԸ,"I am changing the arrows

The last time in Yerevan

I don't know my way is my open

Or will I get to the red light?



Hey what do I know?



The snow white velvet tablecloth

I will cover the tracks I leave

In this silence in this silence

Maybe one melody will be heard







Is a multifaceted choir

Freelable

The wires on stage are silent

Where are you next to my dreamy



The gold trap ordered

He didn't go to you in his miracles

I convey my violin to you

Be my friend Blessed



I am changing the arrows

I'm leaving yet

The last stop is ahead

Where are you next to my dreamy



The snow white velvet tablecloth

I will cover the tracks I leave

In this silence in this silence

Maybe one melody will be heard







I am changing the arrows

Perhaps the last time

I don't know my way is my open

Or will I get to the red light?



Hey what do I know?



The snow white velvet tablecloth

My past traces will cover

In this silence in this silence

It may be heard per melody"
